Vaka_ID,Ulke_Bolge,Yil,Proje_Sektoru_v4,FIDIC_Kitap_Turu,Atif_Maddeler,Kurum_Yargi_Yeri,Uyusmazlik_Ozeti,Claim_Turu,Eskalasyon_Asamasi,Sonuc_Yonu,Vaka_Adi,Kaynak,Karar_Yonu_Ham,Tahmini_Tutar_USD,Sure_Yil_Cikarilan
20,Kenya,2025,Fosil Yakit/Petrol-Gaz,Gümüş Kitap - 1999 (1. Baskı),"2, 20, 20.1-20.6","Nairobi Yuksek Mahkemesi, Kenya",Hidroelektrik EPC - tek uyeli DAB atamasinin usulsuzlugu,DAB/Hakem Prosedur Usulsuzlugu,Istinaf/Temyiz/Yuksek Mahkeme,Isveren Lehine,"KTDA Power v Jiangxi Water & Hydropower, [2025] KEHC 2255",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Isveren lehine - atama iptal,,
21,Tanzanya,2025,Bina/Konut/Ticari,FIDIC (Kitap Rengi Belirsiz) - 1999 (1. Baskı),"20, 20.2",Tanzanya Istinaf Mahkemesi,Otel tadilati - odeme/cizim eksikligi feshi; arabulucu gorusu eksikligi,Arabuluculuk/Dostane Cozum,Istinaf/Temyiz/Yuksek Mahkeme,Isveren Lehine,"M/S Hodi v M/S Jandu Plumber, [2025] TZCA 138",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Isveren lehine - yeniden tahkim onandi,,
23,Kenya,2025,Sanayi Tesisi/Fabrika,BELİRSİZ (kaynakta belirtilmemiş),"2.5, 14, 14.8, 20","Nairobi Istinaf Mahkemesi, Kenya",Seker fabrikasi - odenmemis hakedis nedeniyle iflas basvurusu,Odeme Uyusmazligi,Istinaf/Temyiz/Yuksek Mahkeme,Yuklenici Lehine,"Kwale International Sugar v Epco Builders, [2025] KECA 227",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - istinaf reddedildi,,
24,Hindistan,2025,Kopru/Tunel,Sarı Kitap - Baskı Belirsiz,"3.5, 8.3, 13.1, 13.16, 20.1","Madras Yuksek Mahkemesi, Hindistan",Metro tuneli - asgari ucret artisi ek maliyet; gec bildirim,Degisiklik/Change Order,Istinaf/Temyiz/Yuksek Mahkeme,Isveren Lehine,"Chennai Metro Rail v Transtonnelstroy, Madras Yuksek Mahkemesi",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Isveren lehine - iki karar da iptal edildi,,
25,Rusya,2024,Fosil Yakit/Petrol-Gaz,Gümüş Kitap - 1999 (1. Baskı),Belirtilmemis,"Moskova Ticaret Mahkemesi, Rusya",ABD yaptirimlari nedeniyle fesih gecerliligi; kararin tenfizi,Fesih,Tenfiz/Icra (Nihai Asama),Yuklenici Lehine,"JSC Power Machines v Vietnam Oil and Gas Group, Moskova",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - tenfiz onaylandi,,11
26,AİHM (Uluslarüstü),2024,Karayolu/Otoyol,Kırmızı Kitap - 1999 (1. Baskı),Belirtilmemis,Avrupa Insan Haklari Mahkemesi,Otoyol ortak girisimi - hakem kararinin Makedon mahkemelerince tenfiz edilmemesi,Tenfiz/Icra,Tenfiz/Icra (Nihai Asama),Belirsiz/Detay Sinirli,"NDI Sopot S.A. v North Macedonia, 6035/17, AIHM",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Basvuran lehine - Madde 6 ihlali,,
27,Fransa (Paris - ICC Merkezi),2024,Karayolu/Otoyol,BELİRSİZ (kaynakta belirtilmemiş),20.2-20.6,Paris Istinaf Mahkemesi,Yol insaati feshi - Gurcistan projesi ICC karari iptal basvurusu,DAB/Hakem Prosedur Usulsuzlugu,Istinaf/Temyiz/Yuksek Mahkeme,Isveren Lehine,"Roads Dept of Georgia v Todini Construzioni, ICC No. 24851/MHM/HBH",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Isveren lehine - iptal basvurusu tamamen reddedildi,,
28,Kenya,2024,Su/Atik Su/Baraj,BELİRSİZ (kaynakta belirtilmemiş),"20.4, 20.5, 20.6","Nairobi Yuksek Mahkemesi, Kenya",5 Dispute Board karari tenfizi icin ozet yargilama,Tenfiz/Icra,Tenfiz/Icra (Nihai Asama),Yuklenici Lehine,"Strabag International v National Irrigation Authority, [2024] KEHC 3744",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - ozet yargilama verildi,,
29,Kenya,2024,Havalimani,Turuncu Kitap - 1. Baskı (1995),"2.2, 3.5, 8, 8.3, 13.8","Nairobi Yuksek Mahkemesi, Kenya",Hakem kararinin iptali/tenfizi - faiz oraninin kamu duzenine aykiriligi,Gecikme/EOT,Tenfiz/Icra (Nihai Asama),Yuklenici Lehine,"Machiri Limited v Kenya Airport Authority, [2024] KEHC 3303",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - iptal reddedildi,,
30,Kenya,2024,Bina/Konut/Ticari,Gümüş Kitap - 1999 (1. Baskı),"14.8, 20, 20.2-20.6","ICC, Nairobi (Gana hukuku)",DAB/uzlasma surecinin tuketilmemesi; zamanasimi itirazi,Zamanasimi/Sure Siniri,DAB/DAAB (On-Tahkim Kurulu),Isveren Lehine,"Micheletti Company v Ministry of Youth and Sports of Ghana, ICC No. 27732/CPB",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Isveren lehine - talepler zamanasimindan reddedildi,,
31,Kenya,2023,Karayolu/Otoyol,Pembe Kitap (MDB Harmonised) - 2005,"20.4, 20.5, 20.6, 20.7","Nairobi Yuksek Mahkemesi, Kenya",DAB kararinin (henuz kesinlesmemis) tenfiz edilebilirligi,Tenfiz/Icra,Tenfiz/Icra (Nihai Asama),Davaci Lehine,"SBI International Holdings v Kenya National Highways Authority, [2023] KEHC 20793",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Davaci lehine,,
32,Fransa (Paris - ICC Merkezi),2024,Karayolu/Otoyol,BELİRSİZ (kaynakta belirtilmemiş),20.2-20.6,Paris Istinaf Mahkemesi,Yol projesi - nihai/ek hakem kararinin iptali basvurusu,Kamu Duzeni/Politikasi Ihlali Iddiasi,Istinaf/Temyiz/Yuksek Mahkeme,Isveren Lehine,"Sew Infrastructure v Ethiopian Roads Authority, ICC No. 23274/PTA",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Isveren lehine - iptal basvurusu tamamen reddedildi,,
33,İngiltere/UK,2024,Karayolu/Otoyol,Kırmızı Kitap - 1999 (1. Baskı),"3.1, 14.6, 14.3, 14.7, 10.1",Privy Council (Trinidad ve Tobago),7 odenmemis IPC icin ozet yargilama; sahte hakedis ve alacagin devri iddialari,Odeme Uyusmazligi,Belirsiz/Sadece Claim Asamasi,Yuklenici Lehine,"Estate Management v Junior Sammy Contractors, [2024] UKPC 33",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - ozet yargilama onandi,,9
34,Tanzanya,2024,Bina/Konut/Ticari,Sarı Kitap - 1999 (1. Baskı),20,"Tanzanya Yuksek Mahkemesi, Dar es Salaam",DAB kararlarina itiraz sonrasi taraflarin sulh anlasmasi,DAB/Hakem Prosedur Usulsuzlugu,Istinaf/Temyiz/Yuksek Mahkeme,Diger/Siniflandirilmamis,"Board of Trustees PSSSF v Estim Construction, [2024] TZHC 9747",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Sulh ile sonuclandi,,
35,Hindistan,2024,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 1999 (1. Baskı),20.3,Hindistan Yuksek Mahkemesi (Temyiz),DAB uyesi atama usulu,DAB/Hakem Prosedur Usulsuzlugu,Istinaf/Temyiz/Yuksek Mahkeme,Diger/Siniflandirilmamis,"Capacite Infraprojects v T. Bhimjyani Realty, Hindistan Yuksek Mahkemesi",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Usul netlestirildi (2023 kararina iliskin temyiz),,
36,Namibya,2024,Fosil Yakit/Petrol-Gaz,Pembe Kitap (MDB Harmonised) - 2010,"3.3, 4.1, 4.9, 6.7, 8.3",Namibya Yuksek Mahkemesi,Su boru hatti ihalesinde diskalifiye edilen teklifin iptali icin ara tedbir talebi,Ihale Sureci,Istinaf/Temyiz/Yuksek Mahkeme,Diger/Siniflandirilmamis,"JDN Civil Engineering JV v Chairperson of Review Panel, [2024] NAHCMD 581",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Idare lehine - ara tedbir talebi reddedildi,,
37,Singapur,2024,Fosil Yakit/Petrol-Gaz,Gümüş Kitap - 1999 (1. Baskı),"1.4, 16.2, 16.4, 19.6, 20.3",Singapur Yuksek Mahkemesi,Nihai kararin (sorumluluk ve tazminat bulgulari) dogal adalet ihlali iddiasiyla geri gonderilmesi,Fesih,Istinaf/Temyiz/Yuksek Mahkeme,Karma/Kismi,"JSC Power Machines v Vietnam Oil and Gas Group, [2024] SGHC 244",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Kismen taraflar arasinda - dava heyete iade edildi,,11
38,Polonya,2024,Kopru/Tunel,Kırmızı Kitap - 1999 (1. Baskı),20.1,Polonya Ulusal Itiraz Kurulu (KIO),"Tunel ihalesinde sozlesme taslagi hukumlerinin adaletsizligine (dolayli maliyet siniri, yaptirim esigi vb.) itiraz",Ihale Sureci,Belirsiz/Sadece Claim Asamasi,Yuklenici Lehine,"Konsorsiyum v Centralny Port Komunikacyjny, Polonya Ulusal Itiraz Kurulu",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Kismen Yuklenici lehine - sozlesme sartlari degistirildi,,
39,Hollanda,2023-2024,Telekom/Veri Merkezi,Sarı Kitap - 1999 (1. Baskı),"15.3, 20.1, 20.6","Hollanda/Sint Maarten mahkemeleri (Amsterdam CoA, Yuksek Mahkeme, Ortak Adalet Divani)",ICC tahkim kararinin (kismi kabul edilen tazminat talebi ve reddedilen karsi talep) tenfizi ve iptali - cok asamali dava dizisi (6+ karar),Tenfiz/Icra,Tenfiz/Icra (Nihai Asama),Yuklenici Lehine,MER Sint Maarten v Sint Maarten Telephone Co (TELEM) - dava dizisi,Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Tutarli sekilde Yuklenici (MER) lehine - tenfiz ve karar defalarca onandi,,
40,Hindistan,2024,Karayolu/Otoyol,BELİRSİZ (kaynakta belirtilmemiş),"44.1, 2.1","Kerala Yuksek Mahkemesi, Hindistan",Ust gecit insaati - COVID-19 nedeniyle sure uzatimina karsilik idarenin ceza uygulamasi,Gecikme/EOT,Istinaf/Temyiz/Yuksek Mahkeme,Yuklenici Lehine,"Marymatha Infrastructure v State of Kerala, WP(C) No. 28012/2020",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - ceza emri iptal edildi,,
41,Hindistan,2024,Karayolu/Otoyol,Kırmızı Kitap - Baskı Belirsiz,"60.10, 63.1, 67.1, 69.1, 69.3","Kerala Yuksek Mahkemesi, Hindistan",Odeme gecikmesi nedeniyle Yuklenici'nin feshi vs Isveren'in ihbar temelli fesih girisimi,Gecikme/EOT; Fesih,Istinaf/Temyiz/Yuksek Mahkeme,Diger/Siniflandirilmamis,"Marymatha Infrastructure v Roads & Bridges Dev. Corp of Kerala, WP(C) 12353/2021",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),"Dava reddedildi (esasa girilmedi, sozlesmesel mekanizmaya yonlendirildi)",,
302,Güney Afrika,2024,Su/Atik Su/Baraj,Kırmızı Kitap - 1999 (1. Baskı),"1.1.1.1, 1.1.1.3, 1.1.2.4, 1.4, 2.16, 3.1, 3.4","Guney Afrika Yuksek Mahkemesi, Gauteng",Su aritma tesisi - sozlesmenin imzalanmamis olmasina ragmen gecerliligi ve zamanasimi (7 yil gecikmis itiraz),Gecikme/EOT,Istinaf/Temyiz/Yuksek Mahkeme,Davaci Lehine,"Bosch Munitech v Govan Mbeki Municipality, [2024] ZAGPPHC 531",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),"Davaci lehine - odeme ve faiz, karsi talep reddedildi",,
43,Hindistan,2024,Bina/Konut/Ticari,BELİRSİZ (kaynakta belirtilmemiş),"9.5, 11.9, 14.10-14.13, 14.7","Gujarat Yuksek Mahkemesi, Hindistan",Nihai hesap asamasindan once verilen ara tedbirin (banka teminati talebi) usulsuzlugu,Odeme Uyusmazligi,Istinaf/Temyiz/Yuksek Mahkeme,Diger/Siniflandirilmamis,"Sdb Diamond Bourse v Psp Project Ltd, C/FA/1309/2024",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Temyiz eden lehine - ara tedbir iptal edildi,,
44,Romanya,2024,Karayolu/Otoyol,BELİRSİZ (kaynakta belirtilmemiş),20.2,Romanya Yargitay (Yuksek Temyiz Mahkemesi),Yol insaati feshi - hakem kararinin (2018) iptal davasinin temyizi,Hakem Karari Iptali,Istinaf/Temyiz/Yuksek Mahkeme,Yuklenici Lehine,"Decizia nr. 335/2024, Romanya Yargitay",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - temyiz reddedildi,,
45,Romanya,2024,Demiryolu/Metro,BELİRSİZ (kaynakta belirtilmemiş),Belirtilmemis,Romanya Yargitay - Idari ve Mali Uyusmazliklar Dairesi,Demiryolu rehabilitasyonu - teknik sartname standartlarindan sapma nedeniyle mali ceza,Teknik Sartname Uygunlugu/Ceza,Istinaf/Temyiz/Yuksek Mahkeme,Diger/Siniflandirilmamis,"Decizia nr. 574/2024, Romanya Yargitay (Idari Daire)",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Idare lehine - ceza onandi,,
46,Hindistan,2024,Demiryolu/Metro,Kırmızı Kitap - 1999 (1. Baskı),"3.5, 20","Delhi Yuksek Mahkemesi, Hindistan",Ithal raylarda gumruk vergisi indirimi (CEPA) nedeniyle kesilen hakedis tutarlarinin/teminatlarinin durdurulmasi,Odeme Uyusmazligi,Istinaf/Temyiz/Yuksek Mahkeme,Yuklenici Lehine,"Sojitz-L&T Consortium v DFCCI, Delhi Yuksek Mahkemesi",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - teminatlarin nakde cevrilmesi durduruldu,,
47,Güney Afrika,2023,Fosil Yakit/Petrol-Gaz,Sarı Kitap - 1999 (1. Baskı),Belirtilmemis,"Guney Afrika Yuksek Mahkemesi, Johannesburg",Kusile Enerji Santrali - zaman siniri uyusmazligi ve yolsuzluk sorusturmasi nedeniyle DAB surecinin durdurulmasi,Fesih; Yolsuzluk,Istinaf/Temyiz/Yuksek Mahkeme,Karma/Kismi,"Eskom Holdings v TSSA, [2023] ZAGPJHC 1469",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),"Kismen her iki taraf - esas surec durduruldu, fesih davasi durdurulmadi",,
48,Paraguay,2023,Karayolu/Otoyol,Pembe Kitap (MDB Harmonised) - 2010,"17, 20","Daimi Hakemlik Mahkemesi (PCA), Paraguay","Metrobus projesi - 8. degisiklik reddi sonrasi fesih; sahaya erisim, tasarim onay gecikmesi, teminatlar",Gecikme/EOT; Degisiklik/Change Order; Fesih,Belirsiz/Sadece Claim Asamasi,Yuklenici Lehine,"Mota-Engil Ingenieria v Ministry of Public Works, Paraguay, PCA No. 2020-14",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine (kabul edilebilirlik asamasinda),,
49,Zimbabve,2023,Yenilenebilir Enerji,Gümüş Kitap - 1999 (1. Baskı),"1.1.3.3, 5, 6, 8","Zimbabve Yuksek Temyiz Mahkemesi, Harare",Gunes enerjisi santrali - on kosullarin yerine getirilmemesi (odenmemis on-hazirlik isleri) nedeniyle tek tarafli fesih,Fesih,Istinaf/Temyiz/Yuksek Mahkeme,Yuklenici Lehine,"Zimbabwe Power Company v Intratrek Zimbabwe, [2023] ZWSC 56",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - aynen ifa karari onandi,,
50,Singapur,2023,Fosil Yakit/Petrol-Gaz,Gümüş Kitap - 1999 (1. Baskı),"1, 2.5, 4.5, 8, 9, 10, 14.5, 14.8, 14.9, 15, 16.3, 17, 19.1, 19.6, 20.1, 20.2","SIAC, yer: Singapur (Vietnam hukuku)","ABD yaptirimlari nedeniyle iki ayri fesih bildirimi (NOT1/NOT2) gecerliligi; performans bonosu, odeme, koruma maliyeti talepleri",Gecikme/EOT; Fesih; Force Majeure; Odeme Uyusmazligi,Ilk Derece Tahkim (ICC/ICSID/LCIA/vb),Yuklenici Lehine,"JSC Power Machines v Vietnam Oil and Gas Group, SIAC ARB274/19/AB, Nihai Karar",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Kismen her iki taraf lehine (Yuklenici agirlikli),,11
51,Karadağ,2023,Su/Atik Su/Baraj,BELİRSİZ (kaynakta belirtilmemiş),Belirtilmemis,Karadag Ticaret Mahkemesi,Su/kanalizasyon projesi - ICC kararinin tenfizine itiraz (kamu duzeni ve yetki belgesi eksikligi),Tenfiz/Icra,Tenfiz/Icra (Nihai Asama),Yuklenici Lehine,"Ludwig Pfeiffer v Vodovod i Kanalizacija DOO Tivat, ICC No. 25798/HBH",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - itiraz reddedildi,,
52,Singapur,2023,Havalimani,Sarı Kitap - 1999 (1. Baskı),"20.2, 20.5, 20.6",Singapur Uluslararasi Ticaret Mahkemesi,Degistirilmis 20.5 maddesinin tahkim icin on sart (condition precedent) olup olmadigi,Siniflandirilmamis/Veri Yetersiz,Belirsiz/Sadece Claim Asamasi,Diger/Siniflandirilmamis,"CZS v CZQ and CZR, [2023] SGHC 16",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yetki tespit edildi (tahkime devam),,
53,Kenya,2023,Havalimani,Kırmızı Kitap - 4. Baskı Rev. (1992),Belirtilmemis,"Mombasa Yuksek Mahkemesi, Kenya",Havalimani cevre duvari - odenmemis hakedis ve degisiklik talebi,Degisiklik/Change Order; Odeme Uyusmazligi,Istinaf/Temyiz/Yuksek Mahkeme,Isveren Lehine,"Westcon Contractors v Kenya Airways Authority, [2023] KEHC 24142",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Isveren lehine - dava reddedildi (teminat parasi haric),,
54,Kenya,2023,Su/Atik Su/Baraj,Pembe Kitap (MDB Harmonised) - 2010,"20.2, 20.4, 20.7","Nairobi Yuksek Mahkemesi, Kenya",4 Dispute Board karari icin ozet yargilama talebi,DAB/Hakem Prosedur Usulsuzlugu; Ozet Yargilama Talebi,Tenfiz/Icra (Nihai Asama),Yuklenici Lehine,"Sogea-Satom v National Irrigation Authority, [2023] KEHC 22767",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Yuklenici lehine - ozet yargilama verildi,,
341,Kenya,2023,Karayolu/Otoyol,Pembe Kitap (MDB Harmonised) - 2005,Belirtilmemis,"Nairobi Yuksek Mahkemesi, Kenya (Yargisal Denetim)",Mahkeme karariyla belirlenen odemenin geciktirilmesine karsi mandamus talebi,Tenfiz/Icra,Tenfiz/Icra (Nihai Asama),Belirsiz/Detay Sinirli,"Republic v Director General KeNHA; SBI (Exparte), [2023] KEHC 22567",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Basvuran lehine,,
56,Güney Afrika,2023,Fosil Yakit/Petrol-Gaz,Kırmızı Kitap - 1999 (1. Baskı),Belirtilmemis,"Guney Afrika Yuksek Mahkemesi, Johannesburg",Kusile Santrali ihalesinde diskalifikasyonun iptali icin yargisal denetim basvurusu,Ihale Sureci,Istinaf/Temyiz/Yuksek Mahkeme,Davali Lehine,"WBHO-Lubocon JV v Eskom Holdings, [2023] ZAGPJHC 1008",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Davali lehine - basvuru reddedildi,,
57,Hindistan,2023,Su/Atik Su/Baraj,BELİRSİZ (kaynakta belirtilmemiş),1.14,"Delhi Yuksek Mahkemesi, Hindistan",Afganistan Salma Baraji - ortak girisim pay dagilimi ve teminat parasinin serbest birakilmasi uyusmazligi,Teminat Mektubu; Ortak Girisim Ic Anlasmazligi,Istinaf/Temyiz/Yuksek Mahkeme,Diger/Siniflandirilmamis,"Angelique International v Salma Dam Joint Venture, CS(COMM) 505/2017",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Ara tedbir - esas hala yargilanmakta,,20
58,Hindistan,2023,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 1999 (1. Baskı),20.2-20.6,"Bombay Yuksek Mahkemesi, Hindistan",DAB'in uculu uyesinin atanmamasi nedeniyle dogrudan tahkime gecis talebi,DAB/Hakem Prosedur Usulsuzlugu,Istinaf/Temyiz/Yuksek Mahkeme,Diger/Siniflandirilmamis,"Capacite Infraprojects v T. Bhimjyani Realty, 2023:BHC-OS:8307",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Karsi taraf lehine - tahkimci atama basvurusu reddedildi,,
59,Kenya,2023,Karayolu/Otoyol,Pembe Kitap (MDB Harmonised) - 2005,"20.4, 20.5, 20.6, 20.7","Nairobi Yuksek Mahkemesi, Kenya",Itiraz bildirimi verilmis DAB kararinin tenfiz edilebilirligi (durdurma basvurusu),Tenfiz/Icra; DAB/Hakem Prosedur Usulsuzlugu,Tenfiz/Icra (Nihai Asama),Davaci Lehine,"SBI International Holdings v Kenya National Highways Authority, [2023] KEHC 20793 (Ruling)",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Davaci lehine - durdurma basvurusu reddedildi,,
